annee;lden_exposition_vr_paris;lden_reglementaire;lden_exposition_oms_paris;lden_oms;ln_exposition_vr_paris;evolution;ln_reglementaire;ln_exposition_oms_paris;ln_oms;lden_exposition_vr_pariscentre;lden_exposition_oms_pariscentre;ln_exposition_vr_pariscentre;ln_exposition_oms_pariscentre;lden_exposition_vr_5eme;lden_exposition_oms_5eme;ln_exposition_vr_5eme;ln_exposition_oms_5eme;lden_exposition_vr_6eme;lden_exposition_oms_6eme;ln_exposition_vr_6eme;ln_exposition_oms_6eme;lden_exposition_vr_7eme;lden_exposition_oms_7eme;ln_exposition_vr_7eme;ln_exposition_oms_7eme;lden_exposition_vr_8eme;lden_exposition_oms_8eme;ln_exposition_vr_8eme;ln_exposition_oms_8eme;lden_exposition_vr_9eme;lden_exposition_oms_9eme;ln_exposition_vr_9eme;ln_exposition_oms_9eme;lden_exposition_vr_10eme;lden_exposition_oms_10eme;ln_exposition_vr_10eme;ln_exposition_oms_10eme;lden_exposition_vr_11eme;lden_exposition_oms_11eme;ln_exposition_vr_11eme;ln_exposition_oms_11eme;lden_exposition_vr_12eme;lden_exposition_oms_12eme;ln_exposition_vr_12eme;ln_exposition_oms_12eme;lden_exposition_vr_13eme;lden_exposition_oms_13eme;ln_exposition_vr_13eme;ln_exposition_oms_13eme;lden_exposition_vr_14eme;lden_exposition_oms_14eme;ln_exposition_vr_14eme;ln_exposition_oms_14eme;lden_exposition_vr_15eme;lden_exposition_oms_15eme;ln_exposition_vr_15eme;ln_exposition_oms_15eme;lden_exposition_vr_16eme;lden_exposition_oms_16eme;ln_exposition_vr_16eme;ln_exposition_oms_16eme;lden_exposition_vr_17eme;lden_exposition_oms_17eme;ln_exposition_vr_17eme;ln_exposition_oms_17eme;lden_exposition_vr_18eme;lden_exposition_oms_18eme;ln_exposition_vr_18eme;ln_exposition_oms_18eme;lden_exposition_vr_19eme;lden_exposition_oms_19eme;ln_exposition_vr_19eme;ln_exposition_oms_19eme;lden_exposition_vr_20eme;lden_exposition_oms_20eme;ln_exposition_vr_20eme;ln_exposition_oms_20eme
2015;767584.0;68;1744083.9;53;663100.0;;62;1766406.2;45;30165.7;79057.3;25109.7;81412.8;17219.9;45519.9;15137.7;46249.1;14216.4;31160.1;12500.6;31755.0;17613.7;38593.3;15670.4;39045.9;16395.7;30465.0;15640.0;31603.0;22182.7;42561.3;19965.5;43907.3;30603.6;69577.0;26669.5;72508.5;52380.1;110441.5;47108.2;112115.8;47646.9;108271.6;40489.4;109059.1;60319.7;153066.2;49402.1;152949.4;46222.4;112012.6;39823.5;113069.3;91505.3;187240.6;78655.5;187860.1;70503.9;134679.0;58717.4;136064.8;55094.3;133785.9;48054.4;135795.9;67176.7;156217.4;61515.1;159484.0;69150.8;152978.7;59029.3;154411.3;59185.7;158456.5;49611.2;159114.9
2022;227914.0;68;1609909.0;53;86601.0;-576499.0;62;1588374.0;45;12531.1;69652.2;6521.4;69486.5;6581.6;42173.7;2311.1;41792.8;4707.2;29256.3;1296.7;29110.4;3982.9;36765.5;612.0;36451.9;9606.9;26924.8;5003.7;26941.8;9457.3;38757.9;2748.6;38500.8;17308.1;59938.9;10711.4;59682.8;14033.7;104525.5;5848.4;103710.2;10764.3;99610.7;3405.7;97379.6;12318.3;141748.3;3372.7;138763.7;12030.1;105471.1;5363.1;103900.8;20246.7;176141.2;3316.2;173130.1;18652.6;124559.0;4624.3;123606.4;17808.7;121721.4;7047.0;120794.4;22622.5;143285.7;10965.6;141656.9;13394.0;140577.8;3941.3;137945.8;21867.5;148799.1;9511.7;145518.9
